mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013873958587646484,0.003941647798334342,0.014920616149902343,0.003941720466254455,euclidean,3,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7954545454545454,0.8863636363636364,0.8818181818181818,0.04406981688560299,29
0.009719276428222656,0.0017083440479369087,0.006587314605712891,0.00301244273740381,euclidean,3,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.9090909090909091,0.8636363636363636,0.9318181818181818,0.8181818181818182,0.9318181818181818,0.890909090909091,0.04406981688560295,7
0.011882257461547852,0.004262241268819534,0.013481903076171874,0.008507755304033084,euclidean,5,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.9090909090909091,0.9090909090909091,0.8863636363636364,0.8409090909090909,0.9090909090909091,0.8909090909090909,0.026504326794751343,15
0.008249998092651367,0.0008627329458389982,0.004476594924926758,0.0006350114286577223,euclidean,5,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.9090909090909091,0.8863636363636364,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.8863636363636364,0.035208939510976485,20
0.011155176162719726,0.0034598651840932306,0.009788942337036134,0.001980980960412667,euclidean,7,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'uniform'}",0.9090909090909091,0.8863636363636364,0.8636363636363636,0.8636363636363636,0.9318181818181818,0.890909090909091,0.026504326794751343,7
0.010715532302856445,0.003250155651619747,0.007070589065551758,0.001150025765010692,euclidean,7,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 7, 'knn__weights': 'distance'}",0.9090909090909091,0.8636363636363636,0.8863636363636364,0.8636363636363636,0.9318181818181818,0.890909090909091,0.026504326794751343,7
0.007193613052368164,0.0013020135953895867,0.008288908004760741,0.001650595819088627,euclidean,9,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'uniform'}",0.9090909090909091,0.8863636363636364,0.8636363636363636,0.8863636363636364,0.8636363636363636,0.8818181818181818,0.017007533576245175,29
0.011910057067871094,0.004213474105325985,0.006908512115478516,0.0024353390262748047,euclidean,9,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'distance'}",0.9090909090909091,0.8636363636363636,0.8863636363636364,0.8636363636363636,0.9090909090909091,0.8863636363636364,0.020327890704543525,20
0.008469104766845703,0.001788467612334184,0.011543464660644532,0.003793438008919659,euclidean,11,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 11, 'knn__weights': 'uniform'}",0.9090909090909091,0.8863636363636364,0.8636363636363636,0.8863636363636364,0.8636363636363636,0.8818181818181818,0.017007533576245175,29
0.011660099029541016,0.00573365540362607,0.004498100280761719,0.00043590870471537664,euclidean,11,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 11, 'knn__weights': 'distance'}",0.9090909090909091,0.8636363636363636,0.8863636363636364,0.8409090909090909,0.8636363636363636,0.8727272727272727,0.02317736142542173,40
0.01073312759399414,0.004091551174214501,0.011341619491577148,0.002603425092783525,euclidean,13,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 13, 'knn__weights': 'uniform'}",0.8863636363636364,0.8863636363636364,0.8636363636363636,0.9090909090909091,0.8863636363636364,0.8863636363636364,0.01437398936440171,20
0.008504533767700195,0.0017890259553768803,0.005920886993408203,0.0017697214893563848,euclidean,13,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 13, 'knn__weights': 'distance'}",0.9090909090909091,0.8636363636363636,0.8863636363636364,0.8636363636363636,0.8863636363636364,0.8818181818181818,0.01700753357624517,29
0.011501598358154296,0.003279381497590369,0.01127781867980957,0.0009681004016434153,euclidean,15,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.8863636363636364,0.8863636363636364,0.8636363636363636,0.9318181818181818,0.8636363636363636,0.8863636363636364,0.024896479886598436,20
0.008107423782348633,0.001436466015213904,0.004659032821655274,0.0007657119413577709,euclidean,15,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'distance'}",0.9090909090909091,0.8636363636363636,0.8863636363636364,0.9090909090909091,0.8863636363636364,0.890909090909091,0.017007533576245175,7
0.008801507949829101,0.0021399825079732792,0.012314462661743164,0.0071859203109368,manhattan,3,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.9090909090909091,0.8863636363636364,0.9090909090909091,0.7954545454545454,0.8863636363636364,0.8772727272727273,0.042152811343162296,38
0.010815715789794922,0.006145187762701841,0.004816246032714844,0.0014385911884082878,manhattan,3,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.9090909090909091,0.8636363636363636,0.9318181818181818,0.8409090909090909,0.9318181818181818,0.8954545454545455,0.036927447293799785,3
